Artist ID: 4q3ewBCX7sLwd24euuV69X || Album ID: 2d9BCZeAAhiZWPpbX9aPCW || Album Name: EL ÚLTIMO TOUR DEL MUNDO || Release Date: 2020-11-27 || No. of Tracks: 16 || Album Type: album
Artist ID: 4q3ewBCX7sLwd24euuV69X || Album ID: 4gvQO5mEuhbMSrLIuwXkmz || Album Name: LAS QUE NO IBAN A SALIR || Release Date: 2020-05-10 || No. of Tracks: 10 || Album Type: album
Artist ID: 4q3ewBCX7sLwd24euuV69X || Album ID: 5lJqux7orBlA1QzyiBGti1 || Album Name: YHLQMDLG || Release Date: 2020-02-29 || No. of Tracks: 20 || Album Type: album
Artist ID: 4q3ewBCX7sLwd24euuV69X || Album ID: 6ylFfzx32ICw4L1A7YWNLN || Album Name: OASIS || Release Date: 2019-06-28 || No. of Tracks: 8 || Album Type: album
Artist ID: 4q3ewBCX7sLwd24euuV69X || Album ID: 7CjJb2mikwAWA1V6kewFBF || Album Name: X 100PRE || Release Date: 2018-12-23 || No. of Tracks: 15 || Album Type: album

Artist ID: 1uNFoZAHBGtllmzznpCI3s || Album ID: 3uPnO1aZBwMgWK1DI5zve9 || Album Name: Justice (The Complete Edition) || Release Date: 2021-10-08 || No. of Tracks: 25 || Album Type: album
Artist ID: 1uNFoZAHBGtllmzznpCI3s || Album ID: 6mzpIm84OXCBxw6Tuhp1OA || Album Name: Justice (Triple Chucks Deluxe) || Release Date: 2021-03-26 || No. of Tracks: 22 || Album Type: album
Artist ID: 1uNFoZAHBGtllmzznpCI3s || Album ID: 5dGWwsZ9iB2Xc3UKR0gif2 || Album Name: Justice || Release Date: 2021-03-19 || No. of Tracks: 16 || Album Type: album
Artist ID: 1uNFoZAHBGtllmzznpCI3s || Album ID: 63iWSELt9V1kV6RSMxN7Ii || Album Name: Changes || Release Date: 2020-02-14 || No. of Tracks: 17 || Album Type: album
Artist ID: 1uNFoZAHBGtllmzznpCI3s || Album ID: 6Fr2rQkZ383FcMqFyT7yPr || Album Name: Purpose (Deluxe) || Release Date: 2015-11-13 || No. of Tracks: 19 || Album Type: album
Artist ID: 1uNFoZAHBGtllmzznpCI3s || Album ID: 1rknZw4cyL9NInAqSwc8AA || Album Name: Journals || Release Date: 2014-05-13 || No. of Tracks: 16 || Album Type: album
Artist ID: 1uNFoZAHBGtllmzznpCI3s || Album ID: 4yz9rO7Q1UC2rK5eLOxmS7 || Album Name: Believe Acoustic || Release Date: 2013-01-01 || No. of Tracks: 11 || Album Type: album
Artist ID: 1uNFoZAHBGtllmzznpCI3s || Album ID: 70f70xLCpH7wHaVvB2oZT9 || Album Name: Believe (Deluxe Edition) || Release Date: 2012-06-15 || No. of Tracks: 17 || Album Type: album
Artist ID: 1uNFoZAHBGtllmzznpCI3s || Album ID: 5cxMa6oLINJzmZ8lF7wWQN || Album Name: Believe || Release Date: 2012-01-01 || No. of Tracks: 13 || Album Type: album
Artist ID: 1uNFoZAHBGtllmzznpCI3s || Album ID: 63MKT9hwmiMFFdFp5SdB1p || Album Name: Under The Mistletoe (Deluxe Edition) || Release Date: 2011-01-01 || No. of Tracks: 15 || Album Type: album
Artist ID: 1uNFoZAHBGtllmzznpCI3s || Album ID: 3cr4Xgz8nnfp7iYbVqwzzH || Album Name: Under The Mistletoe || Release Date: 2011-01-01 || No. of Tracks: 11 || Album Type: album
Artist ID: 1uNFoZAHBGtllmzznpCI3s || Album ID: 0wZJCeyfJ0LVrrtH4CwQYw || Album Name: Never Say Never - The Remixes || Release Date: 2011-01-01 || No. of Tracks: 7 || Album Type: album
Artist ID: 1uNFoZAHBGtllmzznpCI3s || Album ID: 0ALfQaGYSvcRNV5OLbixA3 || Album Name: My Worlds (International Version) || Release Date: 2010-01-01 || No. of Tracks: 18 || Album Type: album
Artist ID: 1uNFoZAHBGtllmzznpCI3s || Album ID: 3BmcYMh0KYsimWL6p2gPa9 || Album Name: My World 2.0 || Release Date: 2010-01-01 || No. of Tracks: 10 || Album Type: album
Artist ID: 1uNFoZAHBGtllmzznpCI3s || Album ID: 1rG5TDs3jYh6OU753I54CI || Album Name: My World || Release Date: 2009-01-01 || No. of Tracks: 7 || Album Type: album

Artist ID: 3TVXtAsR1Inumwj472S9r4 || Album ID: 5MS3MvWHJ3lOZPLiMxzOU6 || Album Name: Her Loss || Release Date: 2022-11-04 || No. of Tracks: 16 || Album Type: album
Artist ID: 3TVXtAsR1Inumwj472S9r4 || Album ID: 3cf4iSSKd8ffTncbtKljXw || Album Name: Honestly, Nevermind || Release Date: 2022-06-17 || No. of Tracks: 14 || Album Type: album
Artist ID: 3TVXtAsR1Inumwj472S9r4 || Album ID: 3SpBlxme9WbeQdI9kx7KAV || Album Name: Certified Lover Boy || Release Date: 2021-09-03 || No. of Tracks: 21 || Album Type: album
